video_id,user_id,views,captions,subtitles,top_comments,likes,comment_count,shares,saved_count,viewer_retention_percentage,video_file,cluster,sentiment_quality_score,analyzed_comments_count,score_interpretation,quality_sentiment_multiplier,score_edu_kw,score_edu_zs,score_eco_kw,score_eco_zs,score_educational,score_eco,total_score_raw,total_score,social_value_multiplier,quality_flag,engagement_rate,viral_coefficient,save_rate,overall_quality_score,norm_likes,norm_comment_count,norm_shares,norm_saved_count,norm_viewer_retention_percentage,norm_sentiment_quality_score,norm_engagement_rate,norm_viral_coefficient,norm_save_rate,norm_overall_quality_score,video_score,category_total_score,video_money
2001,1,14055,"fps, gaming",Here’s a ranked gaming match with commentary on positioning and decision making.,"Not useful at all. | Too repetitive and unoriginal. | Disliked the presentation style. | Really boring, I didn't enjoy this. | Poor quality, needs improvement.",1195,94,89,194,37.2,,8,0.5,0,Average,1.0,0.5,0.18022626638412476,0.5,0.0011203810572624207,0.27615838646888735,0.1507842667400837,0.21347132660448553,0.2248084760790497,0.94496169521581,True,0.09804340092493774,0.006332266097474209,0.013802917111348274,0.4488,1.0,1.0,1.0,1.0,0.0,0.5,0.16060803415706412,0.6872650658703491,1.0,0.0,0.5662425623909945,1.4110577001300206,3720.6262741531386
2002,4,19998,"adventure, trip highlights","Join me as I explore a new city, sharing highlights and travel tips along the way.","High quality and well presented. | Great explanation, very helpful. | Amazing content, keep it up! | Loved this video! | This was super entertaining.",733,178,58,220,70.55,,0,0.5,0,Average,1.0,0.5,0.008561786264181137,0.5,0.024745875969529152,0.15599325038492678,0.1673221131786704,0.1616576817817986,0.12810978267424522,0.925621956534849,True,0.04845484548454845,0.0029002900290029,0.011001100110011002,0.5822,0.26037735849056604,0.8333333333333333,0.28735632183908044,0.6285714285714286,0.9915574963609898,0.5,0.008913833545982682,0.141567695617743,0.6444411230525425,0.9915574963609903,0.5582326451771908,7.2827370519842285,710.6878840074902
2003,13,4213,"funny, internet humor",This video is packed with comedy skits and internet humor for a good time.,"Disliked the presentation style. | Not useful at all. | Really boring, I didn't enjoy this. | Poor quality, needs improvement. | Too repetitive and unoriginal.",220,27,16,54,64.61,,4,0.5,0,Average,1.0,0.2689414213699951,3.403106165933423e-05,0.5,0.00013393112749326974,0.08070624815416007,0.15009375178924528,0.11539999997170267,0.041780063808126974,0.9083560127616254,False,0.062425824827913604,0.0037977688108236413,0.012817469736529788,0.55844,0.014693534844668399,0.0,0.03973509933774833,0.06910569105691054,1.0,0.5,0.1461564404941887,0.3150860004822545,0.8111296424972326,1.0,0.39758438335852586,5.757026037420992,640.3087474596153
2004,14,5992,"adventure, trip highlights",In this vlog I’m taking you with me on an adventure to discover amazing places.,"Interesting perspective. | This was okay overall. | Not bad, could be better. | Thanks for sharing. | I learned something new.",490,38,38,41,40.33,,0,0.5,0,Average,1.0,0.2689414213699951,0.0021295882761478424,0.5,0.0015691928565502167,0.08217313820430201,0.15109843499958514,0.11663578660194357,0.04408638587599853,0.9088172771751998,False,0.09445927903871829,0.006341789052069426,0.006842456608811749,0.46132,0.14575471698113207,0.12626262626262627,0.17241379310344823,0.0603174603174603,0.11179039301310034,0.5,0.5824738901042386,0.7758717919348617,0.1381710282080628,0.11179039301310038,0.2860808580511309,7.2827370519842285,364.21051584840694
2005,15,16155,"soccer workout, endurance",Let’s train together! Today I’m going through a soccer workout to build stamina.,"Not bad, could be better. | This was okay overall. | I learned something new. | Interesting perspective. | Thanks for sharing.",1058,78,87,132,65.68,,5,0.5,0,Average,1.0,0.5,0.6756349205970764,0.5,0.5875007510185242,0.6229444444179535,0.5612505257129669,0.5920974850654601,0.9314303502465586,1.0862860700493118,True,0.07570411637264005,0.005385329619312906,0.008170844939647167,0.56272,0.42352941176470593,0.4772727272727273,0.649122807017544,0.38823529411764707,0.9394823186292381,0.5,0.14203179838120586,0.5204074655399608,0.302151483464949,0.9394823186292381,0.55710925908434,4.735751522810948,1090.711218052517
2006,3,21523,"comedy, funny skit",I created this comedy sketch to brighten your day and make you smile.,"Amazing content, keep it up! | Great explanation, very helpful. | This was super entertaining. | High quality and well presented. | Loved this video!",2567,88,159,189,45.03,,4,0.5,0,Average,1.0,0.5,0.00012125795910833403,0.5,0.0003585524682421237,0.15008488057137584,0.1502509867277695,0.15016793364957265,0.10666671230660986,0.921333342461322,True,0.1307438554104911,0.007387445988012824,0.008781303721600148,0.48012,1.0,0.4013157894736842,0.9867549668874174,0.6178861788617885,0.30220955096222396,0.5,0.9944250037242807,1.0,0.3857146324278575,0.3022095509622237,0.5976210381859597,5.757026037420992,962.4673262664277
2007,1,7194,"valorant, tips and tricks",Jump into the action with me as I play an FPS match and talk through strategies.,"Disliked the presentation style. | Not useful at all. | Too repetitive and unoriginal. | Really boring, I didn't enjoy this. | Poor quality, needs improvement.",814,57,34,72,44.65,,3,0.5,0,Average,1.0,0.5,0.5675497055053711,0.5,0.006127377972006798,0.5472847938537597,0.15428916458040476,0.35078697921708224,0.4810777317375931,0.9962155463475186,False,0.12579927717542397,0.004726160689463442,0.010008340283569641,0.4786,0.1565752128666036,0.037837837837837826,0.0,0.0,0.1431213017751479,0.5,1.0,0.14544493981814166,0.5224815228225762,0.14312130177514834,0.292308808668717,4.024607834054846,336.7027396285787
2008,9,15975,"music cover, acoustic guitar",Watch this live music session where I share one of my favorite covers.,"Thanks for sharing. | Interesting perspective. | This was okay overall. | Not bad, could be better. | I learned something new.",698,142,71,155,63.04,,9,0.5,0,Average,1.0,0.5,0.0007899368065409362,0.5,0.0004889073898084462,0.15055295576457864,0.1503422351728659,0.15044759546872227,0.10718863915810861,0.9214377278316217,True,0.05702660406885759,0.0044444444444444444,0.00970266040688576,0.55216,0.16443987667009247,1.0,0.5978260869565218,0.5611510791366907,0.8157806753594117,0.5,0.06847195406627149,0.4863373484860767,0.3712449514218575,0.8157806753594112,0.555290876132852,3.992410620626248,1289.5662147508574
2009,7,20062,"tech review, pc setup",Join me as I dive into tech tips and highlight useful Windows shortcuts.,"High quality and well presented. | Great explanation, very helpful. | This was super entertaining. | Amazing content, keep it up! | Loved this video!",1667,155,77,265,62.51,,7,0.5,0,Average,1.0,0.5,0.004903725348412991,0.7310585786300049,0.000807525182608515,0.1534326077438891,0.21988284121682744,0.18665772448035828,0.17476682585829348,0.9349533651716587,True,0.09465656464958629,0.0038381018841591066,0.013209051938989134,0.55004,0.8887443070917372,1.0,0.6018518518518519,1.0,0.9875437913585052,0.5,0.613988533313759,0.3882251775892413,1.0,0.9875437913585047,0.7445475714980231,3.8083790606935053,1812.635969764623
2010,9,18664,"acoustic guitar, cover song",Sit back and enjoy as I perform an acoustic guitar cover of a popular song.,"Not useful at all. | Disliked the presentation style. | Too repetitive and unoriginal. | Really boring, I didn't enjoy this. | Poor quality, needs improvement.",1729,104,63,126,65.61,,9,0.5,0,Average,1.0,0.5,0.001484610722400248,0.5,0.0006907625938765705,0.15103922750568016,0.15048353381571358,0.1507613806606969,0.10777424972801847,0.9215548499456037,True,0.10158594084869267,0.003375482211744535,0.00675096442348907,0.56244,0.6942446043165467,0.6199999999999999,0.5108695652173914,0.3525179856115108,0.901705115346038,0.5,0.6291151608697771,0.21420683788860903,0.003772544660968175,0.9017051153460383,0.6047422998446369,3.992410620626248,1404.4085217848924
2011,1,11425,"valorant, clutch gameplay",Jump into the action with me as I play an FPS match and talk through strategies. (variant 2),"This was okay overall. | Interesting perspective. | I learned something new. | Not bad, could be better. | Thanks for sharing.",483,80,67,154,40.78,,3,0.5,0,Average,1.0,0.5,0.6199218034744263,0.5,0.005246446933597326,0.5839452624320983,0.15367251285351813,0.3688088876428082,0.5147116326799505,1.00294232653599,False,0.05514223194748359,0.0058643326039387305,0.013479212253829321,0.46312,0.0,0.16216216216216217,0.2844827586206896,0.3596491228070176,0.0,0.5,0.12361119619404455,0.4992354712297551,1.0,0.0,0.2610389448493268,4.024607834054846,300.6838154512587
