video_id,user_id,views,captions,subtitles,top_comments,likes,comment_count,shares,saved_count,viewer_retention_percentage,video_file,use_ai_description,combine_descriptions,cluster,sentiment_score,analyzed_comments_count,sentiment_interpretation,sentiment_variance,score_edu_kw,score_edu_zs,score_eco_kw,score_eco_zs,score_educational,score_eco,total_score_raw,total_score,social_value_multiplier,combined_multiplier,quality_sentiment_multiplier,content_flag,engagement_rate,viral_coefficient,save_rate,overall_score,norm_likes,norm_comment_count,norm_shares,norm_saved_count,norm_viewer_retention_percentage,norm_sentiment_score,norm_engagement_rate,norm_viral_coefficient,norm_save_rate,norm_overall_score,video_score,category_total_score,video_money
2001,1,14055,"fps, gaming",Here’s a ranked gaming match with commentary on positioning and decision making.,"Not useful at all. | Too repetitive and unoriginal. | Disliked the presentation style. | Really boring, I didn't enjoy this. | Poor quality, needs improvement.",1195,94,89,194,37.2,,,,9,0.25179546177387235,5,Negative,0.012456013976944968,0.5,0.18022967875003815,0.5,0.0011203717440366745,0.2761607751250267,0.15078426022082567,0.2134725176729262,0.2248112325762431,0.9449622465152486,0.9487400386029167,0.9487400386029167,True,0.09804340092493774,0.006332266097474209,0.013802917111348274,0.29987727706432343,0.49566803465572273,0.45695364238410596,1.0,0.6029411764705883,0.0,0.0,0.5582613088642392,0.7053899820951339,0.936549098054538,0.0,0.3841396646406491,3.649261007152886,1050.3032030296051
2002,4,19998,"adventure, trip highlights","Join me as I explore a new city, sharing highlights and travel tips along the way.","High quality and well presented. | Great explanation, very helpful. | Amazing content, keep it up! | Loved this video! | This was super entertaining.",733,178,58,220,70.55,,,,2,0.7489507388323545,5,Positive,0.0170368024621816,0.5,0.008561844937503338,0.5,0.024745678529143333,0.15599329145625232,0.16732197497040033,0.16165763321332632,0.12810999596769415,0.9256219991935388,1.0125397031945913,1.0125397031945913,True,0.04845484548454845,0.0029002900290029,0.011001100110011002,0.7315704432994128,0.26037735849056604,0.8333333333333333,0.28735632183908044,0.6285714285714286,0.9915574963609898,1.0,0.008913833545982682,0.141567695617743,0.6444411230525425,1.0,0.6444639260444169,8.461923484876074,759.9061903051895
2003,13,4213,"funny, internet humor",This video is packed with comedy skits and internet humor for a good time.,"Disliked the presentation style. | Not useful at all. | Really boring, I didn't enjoy this. | Poor quality, needs improvement. | Too repetitive and unoriginal.",220,27,16,54,64.61,,,,6,0.25179546177387235,5,Negative,0.012456013976944966,0.2689414213699951,3.4031276300083846e-05,0.5,0.00013393214612733573,0.08070624830440859,0.15009375250228912,0.11540000040334886,0.04178016348882902,0.9083560326977659,0.9377581744576718,0.9377581744576718,True,0.062425824827913604,0.0037977688108236413,0.012817469736529788,0.4095172770643234,0.014693534844668399,0.0,0.03973509933774833,0.06910569105691054,1.0,0.0,0.1461564404941887,0.3150860004822545,0.8111296424972326,0.2581924648636153,0.17676737947258866,5.677439890014892,310.65621212508995
2004,14,5992,"adventure, trip highlights",In this vlog I’m taking you with me on an adventure to discover amazing places.,"Interesting perspective. | This was okay overall. | Not bad, could be better. | Thanks for sharing. | I learned something new.",490,38,38,41,40.33,,,,2,0.5935958933085204,5,Neutral,0.026196112352528556,0.2689414213699951,0.0021295826882123947,0.5,0.0015692176530137658,0.08217313429274721,0.15109845235710964,0.11663579332492843,0.04408650277637511,0.9088173005552751,0.9857486152297753,0.9857486152297753,True,0.09445927903871829,0.006341789052069426,0.006842456608811749,0.5174775359851123,0.14575471698113207,0.12626262626262627,0.17241379310344823,0.0603174603174603,0.11179039301310034,0.6875124278212998,0.5824738901042386,0.7758717919348617,0.1381710282080628,0.5073036445773328,0.30415311481157736,8.461923484876074,358.63579853807545
2005,15,16155,"soccer workout, endurance",Let’s train together! Today I’m going through a soccer workout to build stamina.,"Not bad, could be better. | This was okay overall. | I learned something new. | Interesting perspective. | Thanks for sharing.",1058,78,87,132,65.68,,,,4,0.5935958933085204,5,Neutral,0.026196112352528562,0.5,0.675636351108551,0.5,0.5874978303909302,0.6229454457759857,0.5612484812736511,0.5920969635248183,0.9314315889846824,1.0862863177969366,1.0389893204022738,1.0389893204022738,True,0.07570411637264005,0.005385329619312906,0.008170844939647167,0.6188775359851122,0.42352941176470593,0.4772727272727273,0.649122807017544,0.38823529411764707,0.9394823186292381,0.6875124278212997,0.14203179838120586,0.5204074655399608,0.302151483464949,0.9086703678730439,0.5811570881220366,4.275163927394312,1356.348310390615
2006,3,21523,"comedy, funny skit",I created this comedy sketch to brighten your day and make you smile.,"Amazing content, keep it up! | Great explanation, very helpful. | This was super entertaining. | High quality and well presented. | Loved this video!",2567,88,159,189,45.03,,,,6,0.7489507388323545,5,Positive,0.0170368024621816,0.5,0.00012125760258641094,0.5,0.0003585531667340547,0.15008488032181047,0.15025098721671384,0.15016793376926216,0.10666696553176094,0.9213333931063522,1.0112531213684353,1.0112531213684353,True,0.1307438554104911,0.007387445988012824,0.008781303721600148,0.6294904432994127,1.0,0.4013157894736842,0.9867549668874174,0.6178861788617885,0.30220955096222396,1.0,0.9944250037242807,1.0,0.3857146324278575,0.9119150016280207,0.7828451905984096,5.677439890014892,1375.7952531584506
2007,1,7194,"valorant, tips and tricks",Jump into the action with me as I play an FPS match and talk through strategies.,"Disliked the presentation style. | Not useful at all. | Too repetitive and unoriginal. | Really boring, I didn't enjoy this. | Poor quality, needs improvement.",814,57,34,72,44.65,,,,5,0.25179546177387235,5,Negative,0.012456013976944968,0.5,0.5675531625747681,0.5,0.006127346772700548,0.5472872138023376,0.15428914274089037,0.35078817827161396,0.4810811118609542,0.9962162223721909,0.9641162313599994,0.9641162313599994,True,0.12579927717542397,0.004726160689463442,0.010008340283569641,0.3296772770643234,0.1565752128666036,0.037837837837837826,0.0,0.0,0.1431213017751479,0.0,1.0,0.14544493981814166,0.5224815228225762,0.0,0.12949501773680328,3.907932069840111,330.6256302090493
2008,9,15975,"music cover, acoustic guitar",Watch this live music session where I share one of my favorite covers.,"Thanks for sharing. | Interesting perspective. | This was okay overall. | Not bad, could be better. | I learned something new.",698,142,71,155,63.04,,,,8,0.5935958933085204,5,Neutral,0.026196112352528562,0.5,0.0007899550837464631,0.5,0.0004889073898084462,0.15055296855862252,0.1503422351728659,0.1504476018657442,0.10718890533828238,0.9214377810676565,0.9895347593834898,0.9895347593834898,True,0.05702660406885759,0.0044444444444444444,0.00970266040688576,0.6083175359851122,0.16443987667009247,1.0,0.5978260869565218,0.5611510791366907,0.8157806753594117,0.6875124278212997,0.06847195406627149,0.4863373484860767,0.3712449514218575,0.6533125075621394,0.5901779670421996,4.191158901684127,1405.0097206581706
2009,7,20062,"tech review, pc setup",Join me as I dive into tech tips and highlight useful Windows shortcuts.,"High quality and well presented. | Great explanation, very helpful. | This was super entertaining. | Amazing content, keep it up! | Loved this video!",1667,155,77,265,62.51,,,,7,0.7489507388323545,5,Positive,0.0170368024621816,0.5,0.004903780296444893,0.7310585786300049,0.0008075361256487668,0.15343264620751143,0.2198828488769556,0.18665774754223352,0.17476728365971614,0.9349534567319433,1.0153391404561125,1.0153391404561125,True,0.09465656464958629,0.0038381018841591066,0.013209051938989134,0.6994104432994127,0.8887443070917372,1.0,0.6018518518518519,1.0,0.9875437913585052,1.0,0.613988533313759,0.3882251775892413,1.0,1.0,0.8908400752104148,3.454314055179228,2573.16946957757
2010,9,18664,"acoustic guitar, cover song",Sit back and enjoy as I perform an acoustic guitar cover of a popular song.,"Not useful at all. | Disliked the presentation style. | Too repetitive and unoriginal. | Really boring, I didn't enjoy this. | Poor quality, needs improvement.",1729,104,63,126,65.61,,,,8,0.25179546177387235,5,Negative,0.012456013976944968,0.5,0.0014846218982711434,0.5,0.0006907714996486902,0.1510392353287898,0.1504835400497541,0.15076138768927194,0.10777451847786242,0.9215549036955725,0.9417178357570138,0.9417178357570138,True,0.10158594084869267,0.003375482211744535,0.00675096442348907,0.4135172770643234,0.6942446043165467,0.6199999999999999,0.5108695652173914,0.3525179856115108,0.901705115346038,0.0,0.6291151608697771,0.21420683788860903,0.003772544660968175,0.0,0.47600390416272964,4.191158901684127,1133.2007458219034
2011,1,11425,"valorant, clutch gameplay",Jump into the action with me as I play an FPS match and talk through strategies. (variant 2),"This was okay overall. | Interesting perspective. | I learned something new. | Not bad, could be better. | Thanks for sharing.",483,80,67,154,40.78,,,,5,0.5935958933085204,5,Neutral,0.026196112352528562,0.5,0.6199248433113098,0.5,0.00524644972756505,0.5839473903179169,0.15367251480929553,0.3688099525636062,0.5147148423631348,1.002942968472627,1.0139863156049809,1.0139863156049809,True,0.05514223194748359,0.0058643326039387305,0.013479212253829321,0.5192775359851122,0.0,0.16216216216216217,0.2844827586206896,0.3596491228070176,0.0,0.6875124278212997,0.12361119619404455,0.4992354712297551,1.0,0.5533299487759783,0.27986378818411317,3.907932069840111,714.5459567342618
